issue_id,instance_id,project_key,summary,description,created_at,resolved_at,priority,issue_type,component
ISSUE-1,apache-jira,PRJ1,Frontend issue 0,ui browser css javascript form layout case 0 stack ERR_1 version v1.0,2025-01-01T08:00:00Z,2025-01-01T16:00:00+00:00,low,bug,Frontend
ISSUE-2,apache-jira,PRJ1,Frontend issue 1,ui browser css javascript form layout case 1 stack ERR_2 version v1.1,2025-01-02T09:00:00Z,2025-01-02T23:00:00+00:00,medium,task,Frontend
ISSUE-3,apache-jira,PRJ1,Frontend issue 2,ui browser css javascript form layout case 2 stack ERR_3 version v1.2,2025-01-03T10:00:00Z,2025-01-04T06:00:00+00:00,high,incident,Frontend
ISSUE-4,apache-jira,PRJ1,Frontend issue 3,ui browser css javascript form layout case 3 stack ERR_4 version v1.0,2025-01-04T11:00:00Z,2025-01-05T13:00:00+00:00,critical,story,Frontend
ISSUE-5,apache-jira,PRJ1,Frontend issue 4,ui browser css javascript form layout case 4 stack ERR_5 version v1.1,2025-01-05T12:00:00Z,2025-01-05T20:00:00+00:00,low,bug,Frontend
ISSUE-6,apache-jira,PRJ1,Frontend issue 5,ui browser css javascript form layout case 5 stack ERR_6 version v1.2,2025-01-06T08:00:00Z,2025-01-06T22:00:00+00:00,medium,task,Frontend
ISSUE-7,apache-jira,PRJ1,Frontend issue 6,ui browser css javascript form layout case 6 stack ERR_7 version v1.0,2025-01-01T09:00:00Z,2025-01-02T05:00:00+00:00,high,incident,Frontend
ISSUE-8,apache-jira,PRJ1,Frontend issue 7,ui browser css javascript form layout case 7 stack ERR_8 version v1.1,2025-01-02T10:00:00Z,2025-01-03T12:00:00+00:00,critical,story,Frontend
ISSUE-9,apache-jira,PRJ1,Frontend issue 8,ui browser css javascript form layout case 8 stack ERR_9 version v1.2,2025-01-03T11:00:00Z,2025-01-03T19:00:00+00:00,low,bug,Frontend
ISSUE-10,apache-jira,PRJ1,Frontend issue 9,ui browser css javascript form layout case 9 stack ERR_10 version v1.0,2025-01-04T12:00:00Z,2025-01-05T02:00:00+00:00,medium,task,Frontend
ISSUE-11,apache-jira,PRJ2,Platform issue 0,api database infra deploy service cluster case 0 stack ERR_11 version v1.0,2025-01-01T08:00:00Z,2025-01-01T18:00:00+00:00,medium,bug,Platform
